
Task: 1, Test Name: Validate cart icon, DOM ID: I__tishopping__234, Browser: EDGE_CHROMIUM, Viewport: 768X700, Device: LAPTOP, Status:Fail
Task: 1, Test Name: Validate cart icon, DOM ID: I__tishopping__234, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status:Fail
Task: 1, Test Name: Validate cart icon, DOM ID: I__tishopping__234, Browser: CHROME, Viewport: 768X700, Device: LAPTOP, Status:Fail
Task: 1, Test Name: Validate cart icon, DOM ID: I__tishopping__234, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status:Fail
Task: 1, Test Name: Validate cart icon, DOM ID: I__tishopping__234, Browser: FIREFOX, Viewport: 1200X700, Device: LAPTOP, Status:Fail
Task: 1, Test Name: Validate Add to compare icon, DOM ID: I__ticontrols__230, Browser: EDGE_CHROMIUM, Viewport: 1200X700, Device: LAPTOP, Status:Fail
Task: 1, Test Name: Validate Add to compare icon, DOM ID: I__ticontrols__230, Browser: FIREFOX, Viewport: 768X700, Device: LAPTOP, Status:Fail
Task: 1, Test Name: Validate Add to compare icon, DOM ID: I__ticontrols__230, Browser: EDGE_CHROMIUM, Viewport: 768X700, Device: LAPTOP, Status:Fail
Task: 1, Test Name: Validate Add to compare icon, DOM ID: I__ticontrols__230, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status:Fail
Task: 1, Test Name: Validate Add to compare icon, DOM ID: I__ticontrols__230, Browser: CHROME, Viewport: 768X700, Device: LAPTOP, Status:Fail
Task: 1, Test Name: Validate Add to compare icon, DOM ID: I__ticontrols__230, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status:Fail
Task: 1, Test Name: Validate Add to compare icon, DOM ID: I__ticontrols__230, Browser: FIREFOX, Viewport: 1200X700, Device: LAPTOP, Status:Fail
Task: 1, Test Name: Validate count down, DOM ID: DIV__countdown__217, Browser: EDGE_CHROMIUM, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate count down, DOM ID: DIV__countdown__217, Browser: FIREFOX, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate count down, DOM ID: DIV__countdown__217, Browser: EDGE_CHROMIUM, Viewport: 768X700, Device: LAPTOP, Status:Pass
